Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name
https://www.copart.com/lotDetail/54356274,54356274,"5,827 USD",Future,2016,NISSAN,ALTIMA 2.5,2.5L  4,4,1N4AL3AP7GN352178,CERT OF TITLE-SALVAGE COLLISIO,"224,021 N",NOT ACTUAL,ALL OVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54550844,54550844,"20,491 USD",Future,2018,HONDA,CR-V EXL,1.5L  4,4,2HKRW2H84JH615327,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54586854,54586854,"16,223 USD",Future,2014,TOYOTA,RAV4 LIMIT,2.5L  4,4,2T3DFREV5EW217216,CERT OF TITLE-SALVAGE COLLISIO,"123,552 A",ACTUAL,BIOHAZARD/CHEMICAL,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54894774,54894774,"9,160 USD",Future,2018,NISSAN,SENTRA S,1.8L  4,4,3N1AB7AP4JY332732,CERT OF TITLE-SALVAGE COLLISIO,"102,266 A",ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54975804,54975804,"18,082 USD",Future,2020,HYUNDAI,SANTA FE S,2.4L  4,4,5NMS2CAD5LH185169,CERT OF TITLE-SALVAGE COLLISIO,"48,671 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/36918044,36918044,"11,992 USD",Future,2016,CHEVROLET,MALIBU LS,1.5L  4,4,1G1ZB5ST8GF280322,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/41528304,41528304,"13,092 USD",Future,2017,CHEVROLET,TRAVERSE L,3.6L  6,6,1GNKVGKD2HJ226315,CERT OF TITLE-SALVAGE COLLISIO,"135,354 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/42086514,42086514,"9,167 USD",Future,2015,MAZDA,3 TOURING,2.0L  4,4,JM1BM1V71F1266171,CERT OF TITLE-SALVAGE COLLISIO,"255,311 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/42829664,42829664,"19,441 USD",Future,2019,TOYOTA,CAMRY L,2.5L  4,4,4T1B11HK4KU697309,CERT OF TITLE-SALVAGE COLLISIO,"40,997 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/47314984,47314984,"12,899 USD",Future,2017,SUBARU,IMPREZA SP,2.0L  4,4,4S3GKAL61H3604164,CERT OF TITLE-SALVAGE COLLISIO,"115,009 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/48121164,48121164,"16,196 USD",Future,2019,SUBARU,IMPREZA,2.0L  4,4,4S3GTAA68K3737673,CERT OF TITLE-SALVAGE COLLISIO,"72,533 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/48548214,48548214,"25,054 USD",Future,2017,TOYOTA,TACOMA DOU,3.5L  6,6,3TMCZ5AN7HM079718,CERT OF TITLE-SALVAGE COLLISIO,"110,818 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/48642294,48642294,"17,119 USD",Future,2014,GMC,SIERRA K15,5.3L  8,8,3GTU2UEC0EG490786,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/49141014,49141014,"15,737 USD",Future,2014,RAM,1500 ST,5.7L  8,8,1C6RR7FT0ES465694,CERT OF TITLE-SALVAGE COLLISIO,"103,357 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/49763214,49763214,"16,682 USD",Future,2018,CHEVROLET,MALIBU LT,1.5L  4,4,1G1ZD5ST2JF260620,CERT OF TITLE-SALVAGE COLLISIO,"25,312 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50241814,50241814,"6,690 USD",Future,2014,FORD,FUSION TIT,2.0L  4,4,3FA6P0RU2ER378698,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50431094,50431094,"12,447 USD",Future,2014,HONDA,CR-V LX,2.4L  4,4,2HKRM4H32EH714143,CERT OF TITLE-SALVAGE COLLISIO,"100,592 A",ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/50779014,50779014,"21,666 USD",Future,2021,NISSAN,ALTIMA SV,2.5L  4,4,1N4BL4DW9MN313536,CERT OF TITLE-SALVAGE COLLISIO,"16,214 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
